id,id_,per_num,add_time,age,level,country_id,town_id,village_id,income,out_poverty,status
1577,1267099,2,2017,62,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,-1
1578,1737627,3,2017,38,2,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1579,173495,4,2017,41,2,5.11E+11,5.11E+11,5.11E+11,3358,0,1
1580,481768,5,2016,19,0,5.11E+11,5.11E+11,5.11E+11,4128,0,1
1581,124374,4,2015,62,1,5.13E+11,5.13E+11,5.13E+11,570,0,1
1582,673730,5,2017,22,1,5.13E+11,5.13E+11,5.13E+11,1089.729019,0,1
1583,1551794,7,2016,15,1,5.13E+11,5.13E+11,5.13E+11,3076,0,1
1584,1085676,6,2014,23,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1585,1706011,3,2017,81,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1586,564087,2,2016,63,1,5.12E+11,5.12E+11,5.12E+11,3893,0,1
1587,127892,3,2014,71,2,5.11E+11,5.11E+11,5.11E+11,2100,0,1
1588,430457,5,2014,45,1,5.12E+11,5.12E+11,5.12E+11,2490,0,1
1589,1846150,3,2017,55,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1590,243749,2,2016,70,1,5.13E+11,5.13E+11,5.13E+11,1089.729019,0,1
1591,821519,5,2014,47,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1592,1312153,2,2016,77,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,-1
1593,109502,4,2016,64,1,5.11E+11,5.11E+11,5.11E+11,3117,0,1
1594,1149730,3,2016,20,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1595,1052284,4,2014,41,1,5.12E+11,5.12E+11,5.12E+11,3106,0,1
1596,73877,2,2014,61,2,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1597,789306,2,2017,54,3,5.13E+11,5.13E+11,5.13E+11,1950,0,1
1598,436451,5,2014,71,1,5.12E+11,5.12E+11,5.12E+11,2920,0,1
1599,772431,2,2017,76,1,5.12E+11,5.12E+11,5.12E+11,1529,0,1
1600,518332,4,2017,44,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1601,790265,1,2017,35,1,5.13E+11,5.13E+11,5.13E+11,1089.729019,0,1
1602,1115930,5,2014,39,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1603,1732951,5,2017,41,2,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1604,532463,2,2016,63,0,5.11E+11,5.11E+11,5.11E+11,3450,0,1
1605,1365611,4,2017,26,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,-1
1606,124408,2,2014,81,3,5.11E+11,5.11E+11,5.11E+11,2779,0,1
1607,1700688,5,2017,9,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1608,1315035,6,2014,39,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,-1
1609,1336320,4,2014,20,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,-1
1610,993636,1,2017,67,3,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1611,1346302,4,2015,46,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,-1
1612,1603834,7,2017,44,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1613,522603,4,2016,38,0,5.11E+11,5.11E+11,5.11E+11,4685,0,1
1614,720811,2,2016,81,3,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1615,1832744,4,2016,50,3,5.13E+11,5.13E+11,5.13E+11,1400,0,1
1616,391734,4,2016,34,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1617,606626,6,2014,65,1,5.12E+11,5.12E+11,5.12E+11,2600,0,1
1618,477966,1,2014,64,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1619,253871,4,2016,50,1,5.13E+11,5.13E+11,5.13E+11,2708,0,1
1620,698235,6,2014,51,3,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1621,1661815,2,2016,73,1,5.12E+11,5.12E+11,5.12E+11,4710,0,1
1622,660781,5,2017,49,2,5.13E+11,5.13E+11,5.13E+11,1089.729019,0,1
1623,410444,2,2017,61,2,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1624,1298087,6,2014,9,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,-1
1625,1264020,4,2014,72,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,-1
1626,997990,2,2017,82,3,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1627,223277,5,2016,14,1,5.13E+11,5.13E+11,5.13E+11,1089.729019,0,1
1628,1427744,3,2017,71,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1629,961894,5,2016,63,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1630,1009039,2,2017,67,3,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1631,146656,4,2016,52,2,5.11E+11,5.11E+11,5.11E+11,2850,0,1
1632,367611,2,2016,55,3,5.13E+11,5.13E+11,5.13E+11,1089.729019,0,1
1633,455698,1,2016,81,0,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1634,1669224,2,2016,70,1,5.12E+11,5.12E+11,5.12E+11,2500,0,1
1635,950071,3,2015,45,3,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1636,1889989,4,2014,43,3,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1637,961630,6,2016,65,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1638,1101817,6,2014,52,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1639,464689,6,2016,92,0,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1640,1318014,5,2017,58,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,-1
1641,72204,5,2014,63,2,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1642,703854,2,2014,70,3,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1643,1087970,2,2014,88,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1644,1845177,6,2017,48,3,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1645,1474450,2,2014,57,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1646,1837569,1,2017,69,3,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1647,1412397,5,2017,44,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1648,235022,6,2017,71,1,5.13E+11,5.13E+11,5.13E+11,4345,0,1
1649,693824,5,2014,61,3,5.13E+11,5.13E+11,5.13E+11,1089.729019,0,1
1650,1703856,4,2017,27,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1651,1714284,5,2014,42,3,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1652,1762380,4,2016,45,1,5.12E+11,5.12E+11,5.12E+11,5013,0,1
