id,"name",score,character,appointment,history,stickiness,relations,"analyze"
151132,"abc",601,0.53,0.77,0.6,0.81,0.66,NULL
166776,"abc",555,0.41,0.65,0.6,0.81,0.62,NULL
168107,"abc",637,0.59,0.77,0.6,0.81,0.78,NULL
168783,"abc",566,0.41,0.65,0.6,0.81,0.62,NULL
169206,"abc",652,0.7988,0.77,0.6,0.81,0.66,NULL
169359,"abc",561,0.47,0.65,0.6,0.81,0.74,NULL
169398,"abc",628,0.7604,0.77,0.6,0.81,0.66,NULL
170140,"abc",535,0.41,0.65,0.6,0.81,0.62,NULL
170575,"abc",593,0.6616,0.65,0.6,0.81,0.56,NULL
170588,"abc",640,0.59,0.77,0.6,0.81,0.78,NULL
171260,"abc",544,0.41,0.65,0.6,0.81,0.62,NULL
171339,"abc",562,0.41,0.65,0.6,0.81,0.62,NULL
171736,"abc",600,0.53,0.77,0.6,0.81,0.66,NULL
173167,"abc",565,0.41,0.65,0.6,0.81,0.62,NULL
173495,"abc",599,0.6788,0.65,0.6,0.81,0.62,NULL
173850,"abc",567,0.41,0.65,0.6,0.81,0.62,NULL
174039,"abc",575,0.41,0.65,0.6,0.81,0.62,NULL
175970,"abc",561,0.41,0.65,0.6,0.81,0.62,NULL
176107,"abc",540,0.38,0.65,0.6,0.81,0.56,NULL
176917,"abc",562,0.47,0.65,0.6,0.81,0.74,NULL
177789,"abc",575,0.47,0.65,0.6,0.81,0.74,NULL
178761,"abc",618,0.7172,0.65,0.6,0.81,0.62,NULL
181292,"abc",467,0.5348,0.51,0.4,0.57,0.58,NULL
181666,"abc",492,0.51,0.63,0.4,0.57,0.74,NULL
181788,"abc",454,0.33,0.51,0.4,0.57,0.58,NULL
182104,"abc",439,0.33,0.51,0.4,0.57,0.58,NULL
182201,"abc",447,0.5304,0.51,0.4,0.57,0.52,NULL
182666,"abc",472,0.45,0.63,0.4,0.57,0.62,NULL
182756,"abc",496,0.45,0.63,0.4,0.57,0.62,NULL
182855,"abc",426,0.33,0.51,0.4,0.57,0.58,NULL
182890,"abc",511,0.6076,0.51,0.4,0.57,0.7,NULL
183410,"abc",479,0.39,0.51,0.4,0.57,0.7,NULL
183964,"abc",413,0.3,0.51,0.4,0.57,0.52,NULL
184725,"abc",525,0.51,0.63,0.4,0.57,0.74,NULL
185772,"abc",430,0.33,0.51,0.4,0.57,0.58,NULL
186620,"abc",459,0.5476,0.51,0.4,0.57,0.58,NULL
188626,"abc",482,0.42,0.63,0.4,0.57,0.56,NULL
190212,"abc",514,0.38,0.65,0.6,0.57,0.56,NULL
190220,"abc",576,0.53,0.77,0.6,0.57,0.66,NULL
190995,"abc",572,0.7644,0.65,0.6,0.57,0.74,NULL
191337,"abc",569,0.598,0.65,0.6,0.57,0.74,NULL
191581,"abc",542,0.6616,0.65,0.6,0.57,0.56,NULL
192606,"abc",522,0.5,0.77,0.6,0.57,0.6,NULL
192850,"abc",561,0.47,0.65,0.6,0.57,0.74,NULL
193616,"abc",554,0.666,0.65,0.6,0.57,0.62,NULL
194965,"abc",543,0.5848,0.65,0.6,0.57,0.56,NULL
196512,"abc",397,0.3,0.51,0.4,0.57,0.52,NULL
196631,"abc",484,0.45,0.63,0.4,0.57,0.62,NULL
197108,"abc",502,0.7272,0.63,0.4,0.57,0.56,NULL
197255,"abc",470,0.39,0.51,0.4,0.57,0.7,NULL
197277,"abc",500,0.45,0.63,0.4,0.57,0.62,NULL
197804,"abc",446,0.33,0.51,0.4,0.57,0.58,NULL
200036,"abc",504,0.4884,0.63,0.4,0.57,0.62,NULL
200122,"abc",462,0.45,0.63,0.4,0.57,0.62,NULL
200559,"abc",444,0.42,0.63,0.4,0.57,0.56,NULL
201270,"abc",462,0.42,0.63,0.4,0.57,0.56,NULL
201677,"abc",463,0.5304,0.51,0.4,0.57,0.52,NULL
202469,"abc",446,0.364,0.51,0.4,0.57,0.52,NULL
203752,"abc",443,0.4324,0.51,0.4,0.57,0.58,NULL
203886,"abc",473,0.42,0.63,0.4,0.57,0.56,NULL
204861,"abc",427,0.3,0.51,0.4,0.57,0.52,NULL
205281,"abc",422,0.3,0.51,0.4,0.57,0.52,NULL
206371,"abc",410,0.3,0.51,0.4,0.57,0.52,NULL
208264,"abc",426,0.3428,0.51,0.4,0.57,0.58,NULL
208712,"abc",462,0.42,0.63,0.4,0.57,0.56,NULL
210999,"abc",456,0.33,0.51,0.4,0.57,0.58,NULL
212536,"abc",501,0.45,0.63,0.4,0.57,0.62,NULL
213050,"abc",484,0.45,0.63,0.4,0.57,0.62,NULL
213238,"abc",499,0.7272,0.63,0.4,0.57,0.56,NULL
214516,"abc",463,0.45,0.63,0.4,0.57,0.62,NULL
214929,"abc",474,0.42,0.63,0.4,0.57,0.56,NULL
216188,"abc",421,0.33,0.51,0.4,0.57,0.58,NULL
216261,"abc",546,0.7188,0.63,0.4,0.57,0.62,NULL
216686,"abc",470,0.45,0.63,0.4,0.57,0.62,NULL
216711,"abc",506,0.5652,0.63,0.4,0.57,0.62,NULL
217344,"abc",399,0.3128,0.51,0.4,0.57,0.52,NULL
217507,"abc",493,0.4712,0.63,0.4,0.57,0.56,NULL
217556,"abc",418,0.3,0.51,0.4,0.57,0.52,NULL
217921,"abc",449,0.4452,0.51,0.4,0.57,0.58,NULL
219666,"abc",473,0.42,0.63,0.4,0.57,0.56,NULL
219711,"abc",425,0.3812,0.51,0.4,0.57,0.58,NULL
221165,"abc",520,0.5652,0.63,0.4,0.57,0.62,NULL
221261,"abc",431,0.3,0.51,0.4,0.57,0.52,NULL
222342,"abc",425,0.33,0.51,0.4,0.57,0.58,NULL
222417,"abc",551,0.6252,0.63,0.4,0.57,0.74,NULL
223277,"abc",433,0.33,0.51,0.4,0.57,0.58,NULL
223491,"abc",528,0.51,0.63,0.4,0.57,0.74,NULL
223858,"abc",470,0.4796,0.51,0.4,0.57,0.7,NULL
224005,"abc",433,0.33,0.51,0.4,0.57,0.58,NULL
224621,"abc",482,0.45,0.63,0.4,0.57,0.62,NULL
225477,"abc",457,0.42,0.63,0.4,0.57,0.56,NULL
225990,"abc",418,0.33,0.51,0.4,0.57,0.58,NULL
226173,"abc",489,0.45,0.63,0.4,0.57,0.62,NULL
226402,"abc",471,0.45,0.63,0.4,0.57,0.62,NULL
226423,"abc",432,0.33,0.51,0.4,0.57,0.58,NULL
227045,"abc",518,0.6248,0.63,0.4,0.57,0.56,NULL
227704,"abc",482,0.42,0.63,0.4,0.57,0.56,NULL
228084,"abc",482,0.42,0.63,0.4,0.57,0.56,NULL
228627,"abc",527,0.74,0.63,0.4,0.57,0.56,NULL
228886,"abc",419,0.33,0.51,0.4,0.57,0.58,NULL
231802,"abc",544,0.6532,0.65,0.6,0.57,0.62,NULL
232084,"abc",569,0.6276,0.65,0.6,0.57,0.62,NULL
232648,"abc",582,0.51,0.72,0.7,0.57,0.76,NULL
232738,"abc",547,0.53,0.77,0.6,0.57,0.66,NULL
233847,"abc",493,0.41,0.65,0.6,0.57,0.62,NULL
233870,"abc",494,0.41,0.65,0.6,0.57,0.62,NULL
234041,"abc",505,0.41,0.65,0.6,0.57,0.62,NULL
234247,"abc",522,0.41,0.65,0.6,0.57,0.62,NULL
234606,"abc",478,0.38,0.65,0.6,0.57,0.56,NULL
235022,"abc",531,0.42,0.72,0.7,0.57,0.58,NULL
235635,"abc",471,0.5304,0.51,0.4,0.57,0.52,NULL
236190,"abc",493,0.6116,0.51,0.4,0.57,0.58,NULL
236750,"abc",489,0.5564,0.51,0.4,0.57,0.7,NULL
237129,"abc",480,0.39,0.51,0.4,0.57,0.7,NULL
238616,"abc",408,0.3,0.51,0.4,0.57,0.52,NULL
239255,"abc",461,0.4964,0.51,0.4,0.57,0.58,NULL
239302,"abc",416,0.3,0.51,0.4,0.57,0.52,NULL
241383,"abc",474,0.5732,0.51,0.4,0.57,0.58,NULL
241858,"abc",505,0.6676,0.63,0.4,0.57,0.62,NULL
241925,"abc",429,0.33,0.51,0.4,0.57,0.58,NULL
242015,"abc",452,0.4196,0.51,0.4,0.57,0.58,NULL
242191,"abc",515,0.6716,0.51,0.4,0.57,0.7,NULL
243186,"abc",399,0.3,0.51,0.4,0.57,0.52,NULL
243650,"abc",438,0.33,0.51,0.4,0.57,0.58,NULL
243749,"abc",442,0.39,0.51,0.4,0.57,0.7,NULL
243874,"abc",535,0.642,0.63,0.4,0.57,0.62,NULL
244226,"abc",404,0.3,0.51,0.4,0.57,0.52,NULL
244333,"abc",448,0.39,0.51,0.4,0.57,0.7,NULL
244867,"abc",453,0.33,0.51,0.4,0.57,0.58,NULL
245251,"abc",496,0.6244,0.51,0.4,0.57,0.58,NULL
245962,"abc",439,0.4964,0.51,0.4,0.57,0.58,NULL
246160,"abc",432,0.33,0.51,0.4,0.57,0.58,NULL
246531,"abc",465,0.39,0.51,0.4,0.57,0.7,NULL
247423,"abc",500,0.65,0.51,0.4,0.57,0.58,NULL
247511,"abc",448,0.33,0.51,0.4,0.57,0.58,NULL
247759,"abc",453,0.33,0.51,0.4,0.57,0.58,NULL
248454,"abc",441,0.33,0.51,0.4,0.57,0.58,NULL
249424,"abc",521,0.51,0.63,0.4,0.57,0.74,NULL
249943,"abc",594,0.53,0.77,0.6,0.81,0.66,NULL
250485,"abc",636,0.6892,0.72,0.7,0.81,0.76,NULL
250515,"abc",652,0.6804,0.72,0.7,0.81,0.64,NULL
251375,"abc",625,0.8116,0.77,0.6,0.81,0.66,NULL
253712,"abc",545,0.41,0.65,0.6,0.81,0.62,NULL
253871,"abc",547,0.41,0.65,0.6,0.81,0.62,NULL
254354,"abc",599,0.47,0.65,0.6,0.81,0.74,NULL
255623,"abc",519,0.38,0.65,0.6,0.81,0.56,NULL
255894,"abc",572,0.47,0.65,0.6,0.81,0.74,NULL
257032,"abc",604,0.45,0.72,0.7,0.81,0.64,NULL
257357,"abc",594,0.47,0.65,0.6,0.81,0.74,NULL
257731,"abc",516,0.38,0.65,0.6,0.81,0.56,NULL
258504,"abc",628,0.8116,0.77,0.6,0.81,0.66,NULL
258524,"abc",569,0.41,0.65,0.6,0.81,0.62,NULL
260150,"abc",542,0.41,0.65,0.6,0.81,0.62,NULL
260835,"abc",561,0.41,0.65,0.6,0.81,0.62,NULL
261096,"abc",545,0.38,0.65,0.6,0.81,0.56,NULL
261309,"abc",552,0.38,0.65,0.6,0.81,0.56,NULL
262389,"abc",610,0.6236,0.65,0.6,0.81,0.74,NULL
262525,"abc",687,0.766,0.72,0.7,0.81,0.76,NULL
264121,"abc",549,0.41,0.65,0.6,0.81,0.62,NULL
264923,"abc",574,0.6872,0.65,0.6,0.81,0.56,NULL
265134,"abc",602,0.6404,0.65,0.6,0.81,0.62,NULL
363802,"abc",461,0.4324,0.51,0.4,0.57,0.58,NULL
363898,"abc",456,0.33,0.51,0.4,0.57,0.58,NULL
365406,"abc",415,0.33,0.51,0.4,0.57,0.58,NULL
365818,"abc",453,0.458,0.51,0.4,0.57,0.58,NULL
366704,"abc",433,0.33,0.51,0.4,0.57,0.58,NULL
367611,"abc",499,0.51,0.63,0.4,0.57,0.74,NULL
368040,"abc",402,0.3,0.51,0.4,0.57,0.52,NULL
368353,"abc",485,0.42,0.63,0.4,0.57,0.56,NULL
369775,"abc",444,0.4452,0.51,0.4,0.57,0.58,NULL
369848,"abc",473,0.4324,0.51,0.4,0.57,0.58,NULL
371184,"abc",543,0.7172,0.65,0.6,0.57,0.62,NULL
372234,"abc",636,0.51,0.72,0.7,0.81,0.76,NULL
374281,"abc",531,0.45,0.72,0.7,0.57,0.64,NULL
375277,"abc",559,0.5764,0.65,0.6,0.57,0.62,NULL
376920,"abc",547,0.7044,0.65,0.6,0.57,0.62,NULL
377883,"abc",610,0.59,0.77,0.6,0.81,0.78,NULL
378608,"abc",545,0.38,0.65,0.6,0.81,0.56,NULL
