,id,per_num,year,ID_card,level,breed_year,equip_breed,land_year,land_size,channel,channel_num,sale_income,county_id,town_id,village_id,helper_unit,plan_time,help_industry,industrial_scale,tech_project,income,out_poverty,status
83,1724156,7,2016,70,3,,,,,,,,511621000000,511621108000,511621108209,邮政局,30/12/2017,种、养殖,家禽（畜）数只、水稻数亩,,1550.0,1724156,1
84,1396143,4,2014,32,1,,,,,,,,511724000000,511724217000,511724217209,,,,,,1089.7290192113246,1396143,1
85,1598872,4,2017,69,1,,,,,,,,511921000000,511921200000,511921200201,,,种养殖,,,1089.7290192113246,1598872,1
86,477429,6,2014,43,1,,,,,,,,510727000000,510727208000,510727208202,,,,,,1089.7290192113246,477429,1
87,1600499,6,2017,6,1,,,,,,,,511921000000,511921200000,511921200206,,,种养殖,,,1089.7290192113246,1600499,1
88,758252,2,2017,70,1,,,,,,,,511722000000,511722114000,511722114205,,,,,,1250.0,758252,1
89,886637,3,2017,53,3,,,,,,,,511322000000,511322238000,511322238203, 县就业局办公室干部,2018,,,,1089.7290192113246,886637,1
90,1660330,5,2016,50,1,,,,,,,,511723000000,511723100000,511723100212,,,种养殖,,,4196.0,1660330,1
91,1625779,5,2017,44,1,,,,,,,,511921000000,511921113000,511921113200,,,种养殖业,,,1089.7290192113246,1625779,1
92,514757,1,2017,75,1,,,,,,,,511129000000,511129202000,511129202208,,,,,,1089.7290192113246,514757,1
93,631864,4,2016,35,3,,,,,,,,513434000000,513434223000,513434223202,,,农牧林果,5头5亩,,2280.0,631864,1
94,906415,4,2014,48,1,,,,,,,,511921000000,511921100000,511921100217,,,,,,4275.0,906415,1
95,1545147,3,2016,66,1,,,,,,,,511623000000,511623203000,511623203207,,,,,,1089.7290192113246,1545147,1
96,1733582,2,2017,60,2,,,,,,,,511902000000,511902201000,511902201201,,,,,,1089.7290192113246,1733582,1
97,1688612,2,2017,68,1,,,,,,,,511921000000,511921105000,511921105205,,,种养殖业,,,1089.7290192113246,1688612,1
98,847175,3,2016,43,2,,,,,,,,511902000000,511902109000,511902109202,,,,,,1089.7290192113246,847175,1
99,243186,6,2016,53,1,,,,,,,,513431000000,513431218000,513431218202,,,,,,1089.7290192113246,243186,1
100,710235,2,2016,73,1,,,,,,,,511922000000,511922107000,511922107215,,,,,,1089.7290192113246,710235,1
101,1302716,4,2017,38,1,,,,,,,,510823000000,510823112000,510823112201,,未脱贫,,,,1089.7290192113246,1302716,-1
102,1516382,5,2017,58,1,,,,,,,,511725000000,511725111000,511725111207,,,,,,1089.7290192113246,1516382,1
103,1823384,2,2013,49,1,,,,,,,,511525000000,511525107000,511525107214,,,,,,1089.7290192113246,1823384,1
104,424941,6,2014,46,1,,,,,,,,511903000000,511903210000,511903210200,,2018,,,,2700.0,424941,1
105,859417,5,2017,48,2,,,,,,,,511902000000,511902107000,511902107207,,,,,,1089.7290192113246,859417,1
106,1781695,5,2014,26,1,,,,,,,,511903000000,511903204000,511903204204,,,,,,3236.0,1781695,1
107,1225052,1,2014,33,1,,,,,,,,510823000000,510823223000,510823223205,,2014年,,,,1089.7290192113246,1225052,-1
108,661678,8,2017,55,2,,,,,,,,513422000000,513422205000,513422205203,,,,,,1089.7290192113246,661678,1
109,1873548,5,2017,65,1,,,,,,,,511725000000,511725110000,511725110214,,,,,,1089.7290192113246,1873548,1
110,214516,3,2016,7,1,,,,,,,,513429000000,513429225000,513429225202,,,,,,1089.7290192113246,214516,1
111,1393441,2,2014,64,1,,,,,,,,511724000000,511724103000,511724103203,,,,,,1089.7290192113246,1393441,1
112,1250974,3,2015,50,1,,,,,,,,510823000000,510823109000,510823109206,,2015年,,,,1089.7290192113246,1250974,-1
113,431862,4,2014,54,1,,,,,,,,511903000000,511903105000,511903105217,,2018,,,,2890.0,431862,1
114,1275037,4,2015,30,1,,,,,,,,510823000000,510823211000,510823211205,,2015年,,,,1089.7290192113246,1275037,-1
115,247511,3,2016,50,1,,,,,,,,513431000000,513431217000,513431217200,,,,,,1089.7290192113246,247511,1
116,850965,4,2016,56,2,,,,,,,,511902000000,511902104000,511902104208,,,,,,1089.7290192113246,850965,1
117,567707,5,2016,38,0,,,,,,,,510522000000,510522108000,510522108203,,,,,,1092.0,567707,1
118,1101813,5,2014,15,1,,,,,,,,511304000000,511304108000,511304108203,,,,,,1089.7290192113246,1101813,1
119,656079,3,2017,28,3,,,,,,,,513432000000,513432102000,513432102201,,,,,,1089.7290192113246,656079,1
120,914995,6,2015,6,1,,,,,,,,511921000000,511921108000,511921108206,,,,,,2000.0,914995,1
121,881591,4,2014,51,1,,,,,,,,511921000000,511921112000,511921112201,,,,,,5200.0,881591,1
122,49524,3,2014,46,2,,,,,,,,510824000000,510824234000,510824234205,,,,,,1089.7290192113246,49524,1
123,630149,1,2016,52,1,,,,,,,,511781000000,511781236000,511781236204,万源市网格化服务管理中心,2018,种植、养殖,生猪养殖2头,技术支撑,2969.0,630149,1
124,764927,2,2017,51,1,,,,,,,,511722000000,511722103000,511722103207,,,,,,3250.0,764927,1
125,1065314,4,2016,40,0,,,,,,,,510522000000,510522116000,510522116207,,,,,,1089.7290192113246,1065314,1
126,1851807,3,2016,75,1,,,,,,,,513227000000,513227201000,513227201203,,,,,,1089.7290192113246,1851807,1
127,1384972,2,2017,78,1,,,,,,,,510823000000,510823103000,510823103203,,未脱贫,,,,1089.7290192113246,1384972,-1
128,1617518,3,2016,27,1,,,,,,,,511723000000,511723106000,511723106211,,,种养殖,,,4735.0,1617518,1
129,1447477,4,2014,44,1,,,,,,,,511724000000,511724116000,511724116205,,,,,,1089.7290192113246,1447477,1
130,889877,4,2017,49,3,,,,,,,,511322000000,511322103000,511322103227, 公用事业管理局,2018,,,,1089.7290192113246,889877,1
131,1725832,5,2016,69,3,,,,,,,,511621000000,511621116000,511621116221,裕民派出所,30/12/2017,种、养殖,家禽（畜）数只、水稻数亩,,1500.0,1725832,1
132,81172,4,2015,54,1,,,,,,,,511923000000,511923225000,511923225203,,,,,,1089.7290192113246,81172,1
133,429025,6,2016,38,2015年,,,,,,,,510522000000,510522201000,510522201210,,,,,,1089.7290192113246,429025,1
134,169206,4,2017,41,2,,,,,,,,510821000000,510821213000,510821213200,旺苍县化龙乡畜牧站,2018,养殖、核桃、中药材等,,四川省科技厅、县委、政府给与的科技项目,2775.0,169206,1
135,1160806,3,2016,65,1,,,,,,,,511703000000,511703223000,511703223201,,,,,,1089.7290192113246,1160806,1
136,1105898,6,2014,67,1,,,,,,,,511304000000,511304205000,511304205204,,,,,,1089.7290192113246,1105898,1
137,1863142,3,2017,72,3,,,,,,,,510522000000,510522109000,510522109201,,,,,,1089.7290192113246,1863142,1
138,1322663,2,2015,48,1,,,,,,,,510823000000,510823214000,510823214202,,2015年,,,,1089.7290192113246,1322663,-1
139,1539001,3,2016,52,1,,,,,,,,511623000000,511623201000,511623201205,,,,,,1089.7290192113246,1539001,1
140,1676223,4,2016,66,1,,,,,,,,511723000000,511723200000,511723200205,,,种养殖,,,3280.0,1676223,1
141,249943,5,2016,66,1,,,,,,,,513435000000,513435209000,513435209204,阿尔乡,2019,种养殖业,2亩核桃2亩豌豆,,1206.0,249943,1
142,244867,4,2016,50,1,,,,,,,,513431000000,513431215000,513431215202,,,,,,1089.7290192113246,244867,1
143,1252593,4,2015,56,1,,,,,,,,510823000000,510823109000,510823109203,,2015年,,,,1089.7290192113246,1252593,-1
144,1101624,7,2014,53,1,,,,,,,,511304000000,511304120000,511304120209,,,,,,1089.7290192113246,1101624,1
145,582902,3,2017,9,3,,,,,,,,510904000000,510904101000,510904101227,,,,,,2332.0,582902,-1
146,953526,4,2014,26,1,,,,,,,,513333000000,513333200000,513333200215,东然二村,2014,,,,3110.0,953526,1
147,243874,3,2016,35,1,,,,,,,,513431000000,513431228000,513431228203,,,,,,1089.7290192113246,243874,1
148,763375,2,2017,59,1,,,,,,,,511722000000,511722206000,511722206204,,,,,,2787.0,763375,1
149,607870,1,2014,88,2,,,,,,,,511303000000,511303201000,511303201215,,,,,,1089.7290192113246,607870,1
150,455907,2,2016,55,0,,,,,,,,510522000000,510522108000,510522108214,,,,,,1089.7290192113246,455907,1
151,1456170,5,2014,15,1,,,,,,,,511724000000,511724117000,511724117204,,,,,,1089.7290192113246,1456170,1
152,495216,5,2016,32,0,,,,,,,,510522000000,510522213000,510522213201,,,,,,1074.0,495216,1
153,1463663,3,2014,74,1,,,,,,,,511703000000,511703116000,511703116209,,,,,,1089.7290192113246,1463663,1
154,1109851,3,2014,90,1,,,,,,,,511304000000,511304216000,511304216210,,,,,,1089.7290192113246,1109851,1
155,226423,4,2016,19,1,,,,,,,,513429000000,513429102000,513429102208,,,,,,1089.7290192113246,226423,1
156,79611,6,2015,76,1,,,,,,,,511923000000,511923103000,511923103207,,,,,,1089.7290192113246,79611,1
157,550083,2,2016,26,1,,,,,,,,513428000000,513428213000,513428213203,,,,,,1089.7290192113246,550083,1
158,1267981,2,2015,56,1,,,,,,,,510823000000,510823108000,510823108218,,2015年,,,,1089.7290192113246,1267981,-1
159,1783385,1,2015,53,1,,,,,,,,511525000000,511525108000,511525108203,来复镇人民政府,2018,油茶,1亩,,2490.0,1783385,1
160,1106536,4,2014,64,1,,,,,,,,511304000000,511304101000,511304101212,,,,,,1089.7290192113246,1106536,1
161,1117060,3,2014,28,1,,,,,,,,511304000000,511304107000,511304107214,,,,,,1089.7290192113246,1117060,1
162,1553054,6,2017,40,2,,,,,,,,511902000000,511902208000,511902208202,,,,,,1089.7290192113246,1553054,1
163,996762,4,2017,61,3,,,,,,,,510904000000,510904101000,510904101213,,,,,,1089.7290192113246,996762,1
164,727722,2,2015,62,3,,,,,,,,511303000000,511303201000,511303201206,,,,,,1750.0,727722,1
165,630028,2,2016,76,1,,,,,,,,511781000000,511781236000,511781236205,万源市中坪乡人民政府,2018,种植、养殖,生猪养殖2头,技术支撑,3500.0,630028,1
166,859733,5,2016,63,2,,,,,,,,511902000000,511902107000,511902107200,,,,,,1089.7290192113246,859733,1
167,513698,5,2017,50,1,,,,,,,,511129000000,511129203000,511129203203,,,,,,1089.7290192113246,513698,1
168,600049,5,2015,44,2,,,,,,,,513422000000,513422222000,513422222203,,,,,,1812.0,600049,1
169,1499802,6,2014,43,1,,,,,,,,511724000000,511724223000,511724223200,,,,,,1089.7290192113246,1499802,1
170,1435974,2,2014,77,1,,,,,,,,511724000000,511724206000,511724206203,,,,,,1089.7290192113246,1435974,1
171,1281262,3,2014,44,1,,,,,,,,511724000000,511724200000,511724200204,,,,,,1089.7290192113246,1281262,1
172,389783,4,2015,46,1,,,,,,,,511129000000,511129102000,511129102206,,,,,,1089.7290192113246,389783,1
173,436574,4,2014,69,1,,,,,,,,511903000000,511903102000,511903102200,,2018,,,,3095.0,436574,1
174,69778,2,2014,53,2,,,,,,,,510824000000,510824120000,510824120202,,,,,,1089.7290192113246,69778,1
175,365818,4,2016,30,3,,,,,,,,513428000000,513428214000,513428214200,,,,,,1089.7290192113246,365818,1
176,958009,5,2015,72,1,,,,,,,,511922000000,511922231000,511922231203,南江县公安局,2015,种养殖业,牛2头、鸡5只、猪2头,无,2094.0,958009,1
177,606579,3,2014,72,1,,,,,,,,511922000000,511922219000,511922219212,仁和乡人民政府,2017,养殖生猪、养殖肉兔、地膜洋芋种植,5头、20只、10亩,养殖生猪、养殖肉兔、地膜洋芋种植,2203.0,606579,1
178,262389,1,2016,32,1,,,,,,,,513435000000,513435217000,513435217202,农牧局,2018,种养殖业,2亩核桃2亩洋芋,,2000.0,262389,1
179,1522999,6,2017,78,1,,,,,,,,511725000000,511725217000,511725217200,,,,,,1089.7290192113246,1522999,1
180,1342401,2,2017,12,1,,,,,,,,510823000000,510823119000,510823119207,,未脱贫,,,,1089.7290192113246,1342401,-1
181,726535,4,2017,61,1,,,,,,,,511722000000,511722106000,511722106208,,,,,,3700.0,726535,1
182,1674720,1,2016,82,1,,,,,,,,511723000000,511723200000,511723200202,,,种养殖,,,2380.0,1674720,1
183,1853751,4,2017,24,1,,,,,,,,511921000000,511921102000,511921102205,,,种养业,,,1089.7290192113246,1853751,1
184,1641553,3,2016,17,1,,,,,,,,511723000000,511723205000,511723205206,,,种养殖,,,3296.0,1641553,1
185,1547243,5,2017,7,3,,,,,,,,513328000000,513328206000,513328206209,,,,,,1089.7290192113246,1547243,1
186,1094154,4,2014,17,1,,,,,,,,511304000000,511304220000,511304220201,,,,,,1089.7290192113246,1094154,1
187,1080697,3,2014,55,1,,,,,,,,511304000000,511304209000,511304209206,,,,,,1089.7290192113246,1080697,1
