"id","name","score","character","appointment","history","stickiness","relations","analyze"
1761502,"abc",605,0.6,0.65,0.6,0.81,0.74,NULL
105495,"abc",604,0.8272,0.65,0.6,0.57,0.62,NULL
1514556,"abc",604,0.8272,0.65,0.6,0.81,0.62,NULL
1043807,"abc",604,0.66,0.72,0.7,0.57,0.76,NULL
1649041,"abc",604,0.58,0.72,0.7,0.81,0.64,NULL
809890,"abc",604,0.7208,0.72,0.7,0.57,0.64,NULL
1595305,"abc",604,0.58,0.72,0.7,0.81,0.64,NULL
1716674,"abc",604,0.58,0.72,0.7,0.81,0.64,NULL
1551300,"abc",604,0.6,0.65,0.6,0.81,0.74,NULL
1831130,"abc",604,0.58,0.72,0.7,0.81,0.64,NULL
382451,"abc",604,0.6,0.65,0.6,0.81,0.74,NULL
434692,"abc",603,0.6,0.65,0.6,0.81,0.74,NULL
1783385,"abc",603,0.6,0.65,0.6,0.81,0.74,NULL
762476,"abc",603,0.84,0.65,0.6,0.57,0.62,NULL
136821,"abc",603,0.6,0.65,0.6,0.81,0.74,NULL
557440,"abc",603,0.58,0.72,0.7,0.81,0.64,NULL
169206,"abc",603,0.7888,0.65,0.6,0.81,0.62,NULL
1721085,"abc",603,0.6,0.65,0.6,0.81,0.74,NULL
1774633,"abc",602,0.58,0.72,0.7,0.81,0.64,NULL
100443,"abc",602,0.66,0.72,0.7,0.57,0.76,NULL
936357,"abc",602,0.6,0.65,0.6,0.81,0.74,NULL
1716418,"abc",602,0.6,0.65,0.6,0.81,0.74,NULL
751888,"abc",601,0.92,0.65,0.6,0.57,0.74,NULL
1045304,"abc",601,0.66,0.72,0.7,0.57,0.76,NULL
1651592,"abc",601,0.6,0.65,0.6,0.81,0.74,NULL
169398,"abc",601,0.7504,0.65,0.6,0.81,0.62,NULL
632286,"abc",601,0.7248,0.65,0.6,0.81,0.62,NULL
1632743,"abc",601,0.6,0.65,0.6,0.81,0.74,NULL
371184,"abc",601,0.8272,0.65,0.6,0.57,0.62,NULL
1678149,"abc",600,0.6,0.65,0.6,0.81,0.74,NULL
23404,"abc",600,0.7248,0.65,0.6,0.81,0.62,NULL
110201,"abc",600,0.66,0.72,0.7,0.57,0.76,NULL
1760906,"abc",600,0.6,0.65,0.6,0.81,0.74,NULL
902285,"abc",600,0.8272,0.65,0.6,0.57,0.62,NULL
21917,"abc",600,0.6,0.65,0.6,0.81,0.74,NULL
19471,"abc",599,0.6336,0.65,0.6,0.81,0.56,NULL
495968,"abc",599,0.6,0.65,0.6,0.81,0.74,NULL
1640832,"abc",599,0.6736,0.65,0.6,0.81,0.62,NULL
19338,"abc",599,0.648,0.65,0.6,0.81,0.62,NULL
557974,"abc",599,0.8016,0.65,0.6,0.81,0.62,NULL
798884,"abc",599,0.8944,0.65,0.6,0.57,0.74,NULL
689587,"abc",599,0.6,0.65,0.6,0.81,0.74,NULL
1728227,"abc",599,0.58,0.72,0.7,0.81,0.64,NULL
131835,"abc",599,0.6,0.65,0.6,0.81,0.74,NULL
19477,"abc",598,0.6736,0.65,0.6,0.81,0.62,NULL
1610270,"abc",598,0.6,0.65,0.6,0.81,0.74,NULL
919350,"abc",598,0.8144,0.65,0.6,0.57,0.62,NULL
688453,"abc",598,0.5712,0.65,0.6,0.81,0.62,NULL
149324,"abc",598,0.6,0.65,0.6,0.81,0.74,NULL
1467238,"abc",598,0.7488,0.65,0.6,0.81,0.56,NULL
864709,"abc",598,0.6,0.65,0.6,0.81,0.74,NULL
21720,"abc",598,0.7488,0.65,0.6,0.81,0.56,NULL
1640702,"abc",598,0.6,0.65,0.6,0.81,0.74,NULL
600581,"abc",597,0.84,0.65,0.6,0.57,0.62,NULL
1714952,"abc",597,0.58,0.72,0.7,0.81,0.64,NULL
257032,"abc",597,0.58,0.72,0.7,0.81,0.64,NULL
921106,"abc",597,0.58,0.72,0.7,0.81,0.64,NULL
1052284,"abc",597,0.7888,0.65,0.6,0.57,0.62,NULL
1724809,"abc",597,0.54,0.72,0.7,0.81,0.58,NULL
743057,"abc",597,0.7888,0.65,0.6,0.57,0.62,NULL
381113,"abc",597,0.6,0.65,0.6,0.81,0.74,NULL
741051,"abc",597,0.66,0.72,0.7,0.57,0.76,NULL
18372,"abc",597,0.8016,0.65,0.6,0.81,0.62,NULL
644553,"abc",597,0.66,0.72,0.7,0.57,0.76,NULL
742919,"abc",596,0.8016,0.65,0.6,0.57,0.62,NULL
816936,"abc",596,0.6,0.65,0.6,0.81,0.74,NULL
1769515,"abc",596,0.6,0.65,0.6,0.81,0.74,NULL
420451,"abc",596,0.792,0.65,0.6,0.57,0.74,NULL
191337,"abc",596,0.728,0.65,0.6,0.57,0.74,NULL
1594488,"abc",596,0.58,0.72,0.7,0.81,0.64,NULL
462240,"abc",596,0.7488,0.65,0.6,0.81,0.56,NULL
622019,"abc",596,0.7888,0.65,0.6,0.81,0.62,NULL
903980,"abc",595,0.58,0.72,0.7,0.57,0.64,NULL
525637,"abc",595,0.6696,0.72,0.7,0.57,0.64,NULL
1669224,"abc",595,0.6,0.65,0.6,0.81,0.74,NULL
1046152,"abc",595,0.776,0.65,0.6,0.81,0.62,NULL
1834669,"abc",595,0.7632,0.65,0.6,0.81,0.62,NULL
